method,path,status_code,type,ja,en
GET,/user,403,unpermitted_admin_user,"この管理ユーザには権限がありません",Admin does not have permission
GET,/dashboard,403,unpermitted_admin_user,"この管理ユーザには権限がありません",Admin does not have permission
,,422,shop_user_not_found,"店舗が見つかりません",The shop user is not found
,,422,private_money_not_found,,Private money not found
,,503,temporarily_unavailable,,Service Unavailable
GET,/transfers,403,,,
,,503,temporarily_unavailable,,Service Unavailable
GET,/transfers-v2,403,unpermitted_admin_user,"この管理ユーザには権限がありません",Admin does not have permission
,,503,temporarily_unavailable,,Service Unavailable
GET,/transactions,403,,,
,,503,temporarily_unavailable,,Service Unavailable
GET,/transactions-v2,403,unpermitted_admin_user,"この管理ユーザには権限がありません",Admin does not have permission
,,503,temporarily_unavailable,,Service Unavailable
POST,/transactions,400,invalid_parameter_both_point_and_money_are_zero,,One of 'money_amount' or 'point_amount' must be a positive (>0) number
,,400,invalid_parameters,"項目が無効です",Invalid parameters
,,403,,,
,,422,customer_user_not_found,,The customer user is not found
,,422,shop_user_not_found,"店舗が見つかりません",The shop user is not found
,,422,private_money_not_found,,Private money not found
,,422,account_can_not_topup,"この店舗からはチャージできません",account can not topup
,,422,transaction_has_done,"取引は完了しており、キャンセルすることはできません",Transaction has been copmpleted and cannot be canceled
,,422,account_restricted,"特定のアカウントの支払いに制限されています",The account is restricted to pay for a specific account
,,422,account_balance_not_enough,"口座残高が不足してます",The account balance is not enough
,,422,c2c_transfer_not_allowed,"このマネーではユーザ間マネー譲渡は利用できません",Customer to customer transfer is not available for this money
,,422,account_transfer_limit_exceeded,"取引金額が上限を超えました",Too much amount to transfer
,,422,account_balance_exceeded,"口座残高が上限を超えました",The account balance exceeded the limit
,,422,account_money_topup_transfer_limit_exceeded,"マネーチャージ金額が上限を超えました",Too much amount to money topup transfer
,,422,account_total_topup_limit_range,"期間内での合計チャージ額上限に達しました",Entire period topup limit reached
,,422,account_total_topup_limit_entire_period,"全期間での合計チャージ額上限に達しました",Entire period topup limit reached
,,422,coupon_unavailable_shop,"このクーポンはこの店舗では使用できません。",This coupon is unavailable for this shop.
,,422,coupon_already_used,"このクーポンは既に使用済みです。",This coupon is already used.
,,422,coupon_not_received,"このクーポンは受け取られていません。",This coupon is not received.
,,422,coupon_not_sent,"このウォレットに対して配信されていないクーポンです。",This coupon is not sent to this account yet.
,,422,coupon_amount_not_enough,"このクーポンを使用するには支払い額が足りません。",The payment amount not enough to use this coupon.
,,422,coupon_not_payment,"クーポンは支払いにのみ使用できます。",Coupons can only be used for payment.
,,422,coupon_unavailable,"このクーポンは使用できません。",This coupon is unavailable.
,,422,account_suspended,"アカウントは停止されています",The account is suspended
,,422,account_closed,"アカウントは退会しています",The account is closed
,,422,customer_account_not_found,,The customer account is not found
,,422,shop_account_not_found,,The shop account is not found
,,422,account_currency_mismatch,"アカウント間で通貨が異なっています",Currency mismatch between accounts
,,422,account_pre_closed,"アカウントは退会準備中です",The account is pre-closed
,,422,account_not_accessible,"アカウントにアクセスできません",The account is not accessible by this user
,,422,terminal_is_invalidated,"端末は無効化されています",The terminal is already invalidated
,,422,same_account_transaction,"同じアカウントに送信しています",Sending to the same account
,,422,transaction_invalid_done_at,"取引完了日が無効です",Transaction completion date is invalid
,,422,transaction_invalid_amount,"取引金額が数値ではないか、受け入れられない桁数です",Transaction amount is not a number or cannot be accepted for this currency
,,503,temporarily_unavailable,,Service Unavailable
GET,/transactions/:uuid,403,,,
,,404,,,
,,503,temporarily_unavailable,,Service Unavailable
GET,/transactions/requests/:request-id,403,unpermitted_admin_user,"この管理ユーザには権限がありません",Admin does not have permission
,,422,transaction_not_found,"取引が見つかりません",Transaction not found
